Name,Capacity,Read MB/s,Write MB/s,PCI_ver,score
Kioxia Exceria Pro Unidad SSD 1TB NVMe M.2 2280 PCIe Gen4 x4,1000,7300,6400,4,10.0
Samsung 980 Pro SSD 2TB PCIe 4.0 NVMe M.2,2000,7000,5100,4,9.106378424657533
WD Black SN850 2TB SSD M.2 2280 3D NAND con Disipador Térmico,2000,7000,5100,4,9.106378424657533
Samsung 980 PRO 2TB SSD PCIe 4.0 NVMe M.2 con Disipador de Calor,2000,7000,5000,4,8.976170091324201
WD Black SN850 1TB SSD NVMe M.2 PCIe 4.0 sin Disipador Térmico,1000,7000,5300,4,8.533461757990867
Samsung 980 Pro SSD 1TB PCIe NVMe M.2,1000,7000,5000,4,8.142836757990867
Team Group T-Force Cardea C440 SSD 1TB M.2,1000,5000,4400,4,7.133276255707763
WD Black SN850 500GB SSD NVMe M.2 PCIe 4.0 sin Disipador Térmico,500,7000,4100,4,6.5542950913242
WD Black SN850 500GB SSD M.2 2280 3D NAND con Disipador Térmico,500,7000,4100,4,6.5542950913242
Kingston KC3000 SSD 512GB M.2 PCIe 4.0 NVMe,512,7000,3900,4,6.303878424657534
Samsung 970 EVO Plus 1TB SSD NVMe M.2,1000,3500,3000,3,5.139126712328767
Samsung 980 SSD 1TB PCIe 3.0 NVMe M.2,1000,3500,3000,4,5.139126712328767
Team Group Cardea Zero Z340 1TB PCIe M.2 Gaming SSD,1000,3400,3000,3,5.127711187214612
WD Green SN350 SSD 1TB M.2 NVMe,1000,3200,2500,3,4.453838470319635
Kioxia Exceria G2 Unidad SSD 2TB NVMe M.2 2280,2000,2100,1700,3,4.119934360730594
Seagate FireCuda 510 500GB M.2 PCI Express 3.0 3D TLC NVMe,500,3450,2500,3,4.0657106164383565
Kioxia EXCERIA PLUS 500GB SSD NVMe M.2 2280,500,3400,2500,3.1,4.0600028538812785
Kingston NV1 Disco SSD 1TB PCIe NVMe,1000,2100,1700,4,3.28660102739726
Kioxia Exceria G2 Unidad SSD 1TB NVMe M.2 2280,1000,2100,1700,3,3.28660102739726
Nfortec Alcyon X 256GB SSD M.2 NVMe,256,3400,1950,3,3.140523687214612
Kingston NV1 Disco SSD 500GB PCIe NVMe,500,2100,1700,3,2.869934360730593
Kioxia EXCERIA 500GB SSD NVMe M.2 2280,500,1700,1600,3.1,2.6940639269406392
Kioxia EXCERIA 500GB SSD NVMe M.2 2280,500,1700,1600,3.1,2.6940639269406392
Kingston NV1 Disco SSD 250GB PCIe NVMe,250,2100,1700,3,2.66160102739726
Nfortec Alcyon 256GB SSD M.2 NVMe,256,1950,1250,3,2.063540239726027
Crucial P2 500GB SSD M.2 2280 PCIe Gen3 x4 NVMe,500,2300,940,3,1.9031820776255708
SanDisk SSD Plus 1TB SATA III,1000,535,445,-,1.4738334760273972
Kioxia EXCERIA 480GB SSD SATA,480,555,540,-,1.1664811643835615
Nfortec Alcyon 512GB SSD M.2,512,500,500,-,1.1347859589041096
Kingston A400 SSD 480GB,480,500,450,-,1.0430151255707762
Kingston A400 SSD 240GB,240,500,350,-,0.7128067922374429
