Name,Frequency,CAS Latency,Memory(GB),Modules,score
Kingston HyperX DDR4 4000MHz 16GB 2x8GB CL19,4000,19,16,2,10.0
Thermaltake Toughram Z-One RGB DDR4 3600 16GB 2x8GB CL18,3600,18,16,2,9.871801670422908
Team Group T-Force Delta RGB DDR4 3600MHz PC4-28800 16GB 2x8GB CL18 Negro,3600,18,16,2,9.871801670422908
Thermaltake Toughram XG RGB DDR4 3600 2x8GB 16GB CL18 Negro,3600,18,16,2,9.871801670422908
Kingston FURY Beast DDR4 3600 MHz 16GB 2x8GB CL17,3600,17,16,2,9.826726766538513
Team Group Elite DDR4 2666MHz 16GB CL19,2666,19,16,1,9.722783375314862
Corsair Vengeance LPX DDR4 3200 PC4-25600 16GB 2X8GB CL16 Negro,3200,16,16,2,9.698528436961421
Team Group Delta RGB DDR4 3200 PC4-25600 16GB 2x8GB CL16,3200,16,16,2,9.698528436961421
Corsair Vengeance RGB Pro SL DDR4 3200 PC4-25600 16GB 2x8GB CL16,3200,16,16,2,9.698528436961421
Kingston FURY Beast DDR4 3200 MHz 16 GB CL16,3200,16,16,1,9.698528436961421
Kingston FURY Beast DDR4 3200 MHz 16GB 2x8GB CL16,3200,16,16,2,9.698528436961421
Corsair Vengeance RGB Pro Optimizado AMD DDR4 3200 16GB 2x8GB CL16,3200,16,16,2,9.698528436961421
G.Skill Trident Z RGB DDR4 3200 PC4-25600 16GB 2x8GB CL16,3200,16,16,2,9.698528436961421
Team Group Delta White RGB DDR4 3200 PC4-25600 16GB 2x8GB CL16,3200,16,16,2,9.698528436961421
Corsair Vengeance LPX DDR4 3200 PC4-25600 16GB 2x8GB CL16,3200,16,16,2,9.698528436961421
Team Group T-Force Night Hawk RGB Gen2 DDR4 3000 16GB 2x8GB CL16,3000,16,16,2,9.656966724115073
Kingston FURY Beast DDR4 2666MHz 16GB 2x8GB CL16,2666,16,16,2,9.587558663661673
Corsair Vengeance LPX DDR4 2400 PC4-19200 16GB 2x8GB CL16,2400,16,16,2,9.532281585576031
Team Group Elite SO-DIMM DDR4 2400 PC-19200 16GB CL16,2400,16,16,1,9.532281585576031
Goodram IRDM Pro DDR4 3600MHz 8GB CL18,3600,18,8,1,5.715630385788149
Crucial CT8G4DFRA266 DDR4 2666MHz PC4-21300 8GB CL19,2666,19,8,1,5.566612090680102
GoodRam SO-DIMM DDR4 2666 MHz 8GB CL19,2666,19,8,1,5.566612090680102
Kingston FURY Beast DDR4 3200 MHz 8GB CL16,3200,16,8,1,5.542357152326661
Kingston FURY Beast RGB DDR4 3200 MHz 8 GB CL16,3200,16,8,1,5.542357152326661
Corsair Vengeance LPX DDR4 3200MHz PC4-25600 8GB CL16 Negro,3200,16,8,1,5.542357152326661
Kingston FURY Beast DDR4 2666 MHz 8GB CL16,2666,16,8,1,5.431387379026912
Crucial DDR4 2400 PC4-19200 8GB CL17,2444,17,8,1,5.430328781651863
Team Group Elite DDR4 2400MHz 8GB CL16,2400,16,8,1,5.37611030094127
Corsair Value Select DDR4 2133 PC4-17000 8GB CL15,2133,15,8,1,5.275550510407
Kingston FURY Beast DDR4 2666 MHz 4GB CL16,2666,16,4,1,3.3533017367095317
GoodRam SODIMM DDR4 2400MHz 4GB CL17,2444,17,4,1,3.352243139334482
